Category,Test Case,Status,Notes
1. Authentication & Onboarding,Registration - Create a new account with Email/Password,Pending,
1. Authentication & Onboarding,Registration - Create a new account with Google Sign-in,Pending,
1. Authentication & Onboarding,Registration - Verify "Remember me" functionality (email persists on logout),Pending,
1. Authentication & Onboarding,Login - Login with Email/Password,Pending,
1. Authentication & Onboarding,Login - Login with Google,Pending,
1. Authentication & Onboarding,Login - Test "Forgot Password" flow (receive email, reset password, login with new password),Pending,
1. Authentication & Onboarding,Passkeys - Setup: Verify prompt appears after 2nd login (if not set up),Pending,
1. Authentication & Onboarding,Passkeys - Manual Setup: Go to Profile -> Security and add a passkey (FaceID/TouchID),Pending,
1. Authentication & Onboarding,Passkeys - Login: Logout and login using the Passkey,Pending,
1. Authentication & Onboarding,Passkeys - Management: Rename or delete a passkey in Profile settings,Pending,
2. Recording & Content Creation,Recording Flow - Audio Mode: Record a story -> Finish -> Review -> Save,Pending,
2. Recording & Content Creation,Recording Flow - Photo + Audio: Upload photo -> Add Title -> Record -> Save,Pending,
2. Recording & Content Creation,Recording Flow - Text Mode: Write a story -> Save,Pending,
2. Recording & Content Creation,Recording Flow - Drafts: Start a recording, exit, and verify if draft state is preserved (or warned),Pending,
2. Recording & Content Creation,Ghost Stories (New User) - Verify "When I was born" prompt appears on Timeline,Pending,
2. Recording & Content Creation,Ghost Stories (New User) - Click "Add birth info" -> Verify it opens the Birth Story template,Pending,
2. Recording & Content Creation,Ghost Stories (New User) - Click a ghost prompt (e.g., "Childhood") -> Verify it opens the recorder with that title,Pending,
2. Recording & Content Creation,Notifications - Post-Record: Verify if an email announcement is sent to family members (if applicable),Pending,
3. Timeline & Navigation,Timeline Interaction - Scroll: Smooth scrolling through decades,Pending,
3. Timeline & Navigation,Timeline Interaction - Decade Nav: Click a decade in the header -> Verify auto-scroll to that section,Pending,
3. Timeline & Navigation,Timeline Interaction - Deep Link: Click a story card -> Verify it opens the Book View to the correct page,Pending,
3. Timeline & Navigation,Navigation Bar - Visibility: Verify the nav bar is visible on light backgrounds (Timeline) and dark backgrounds (Book),Pending,
3. Timeline & Navigation,Navigation Bar - Responsiveness: Check nav bar layout on Mobile vs Desktop,Pending,
4. Book View (Reading Experience),Reading - Page Turn: Swipe (Mobile) or Click arrows/keys (Desktop),Pending,
4. Book View (Reading Experience),Reading - TOC: Open Table of Contents -> Click a chapter -> Verify navigation,Pending,
4. Book View (Reading Experience),Reading - Deep Link Return: Click "Timeline" in nav -> Verify it returns to the exact scroll position in the Timeline,Pending,
4. Book View (Reading Experience),Editing from Book - Find the "Edit" button/icon on a story page,Pending,
4. Book View (Reading Experience),Editing from Book - Make a change (e.g., fix a typo) -> Save -> Verify update in Book,Pending,
5. Memory Box (Management),Organization - Tabs: Switch between "Stories" and "Treasures",Pending,
5. Memory Box (Management),Organization - Filters: Test "Favorites", "Decades", and "Search" (find a specific story),Pending,
5. Memory Box (Management),Treasures - Add: Upload a photo/document -> Add metadata (Year, Title),Pending,
5. Memory Box (Management),Treasures - Edit: Change title or category of a treasure,Pending,
5. Memory Box (Management),Treasures - Delete: Delete a treasure -> Verify removal,Pending,
5. Memory Box (Management),Editing from Box - Click "Edit" on a story card -> Update details -> Save,Pending,
6. Family & Sharing,Invites - Send Invite: Invite a new email (Role: Viewer or Contributor),Pending,
6. Family & Sharing,Invites - Confetti: Verify the celebration animation plays! ðŸŽ‰,Pending,
6. Family & Sharing,Invites - Resend: Click "Resend" for a pending invite,Pending,
6. Family & Sharing,Invites - Revoke: Remove a pending invite,Pending,
6. Family & Sharing,Member View - Accept: Open invite link in incognito -> Create account/Login -> Verify access to the inviter's stories,Pending,
6. Family & Sharing,Member View - Permissions: Verify a "Viewer" cannot edit/delete stories,Pending,
6. Family & Sharing,Activity Feed - Verify recent actions (new story, new member) appear in the Family page activity list,Pending,
7. Profile & Settings,Personal Info - Update: Change Name, Bio, or Profile Photo -> Verify updates across app,Pending,
7. Profile & Settings,Personal Info - Birth Year: Change Birth Year -> Verify Timeline re-orders/re-labels ages correctly,Pending,
7. Profile & Settings,Subscription - Status: Verify Free vs Premium badge,Pending,
7. Profile & Settings,Subscription - Upgrade: Click "Upgrade" -> Verify Stripe checkout opens,Pending,
7. Profile & Settings,Subscription - Portal: Click "Manage Subscription" -> Verify Stripe portal opens,Pending,
7. Profile & Settings,Data & Privacy - Export JSON: Click "Export Data" -> Verify JSON download,Pending,
7. Profile & Settings,Data & Privacy - Export PDF: Generate "2-up" and "Trim" PDFs -> Verify download,Pending,
7. Profile & Settings,Data & Privacy - Delete Account: Request deletion -> Confirm -> Verify logout and account removal,Pending,
8. General / Edge Cases,Offline - Turn off network -> Verify app handles it gracefully (error messages),Pending,
8. General / Edge Cases,404 - Go to a non-existent URL (e.g., /timeline/fake) -> Verify custom 404 page,Pending,
8. General / Edge Cases,Cross-Device - Login on Phone and Laptop -> Verify data syncs,Pending,
